time_start,time_end,estimated,amount_usd,service,tag_aws_parallelcluster_clustername,tag_aws_parallelcluster_clustername_value
2026-04-01,2026-05-01,False,1.0245884681,EC2 - Other,aws-parallelcluster-clustername$mkdec219,mkdec219
2026-04-01,2026-05-01,False,17.2652436579,EC2 - Other,aws-parallelcluster-clustername$test-del-me,test-del-me
2026-04-01,2026-05-01,False,560.3337595136,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,30.8063493604,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-clustername$and-again,and-again
2026-04-01,2026-05-01,False,20.788327337,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-clustername$day-ssm-e2e-20260412103613,day-ssm-e2e-20260412103613
2026-04-01,2026-05-01,False,17.2748519491,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-clustername$dec215-0426,dec215-0426
2026-04-01,2026-05-01,False,97.7800052848,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-clustername$dec219-cluster,dec219-cluster
2026-04-01,2026-05-01,False,183.839017004,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-clustername$inflextion-g24,inflextion-g24
2026-04-01,2026-05-01,False,96.0536220119,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-clustername$lsmc-20260413,lsmc-20260413
2026-04-01,2026-05-01,False,24.8221262516,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-clustername$majors-cluster,majors-cluster
2026-04-01,2026-05-01,False,42.1185872962,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-clustername$mk-cluster,mk-cluster
2026-04-01,2026-05-01,False,93.3639630042,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-clustername$mk-gotime,mk-gotime
2026-04-01,2026-05-01,False,0.8827353572,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-clustername$mk-gotime2,mk-gotime2
2026-04-01,2026-05-01,False,726.661958265,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-clustername$mk-gotime3,mk-gotime3
2026-04-01,2026-05-01,False,52.2795210083,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-clustername$mk-majors-cluster,mk-majors-cluster
2026-04-01,2026-05-01,False,43.0915802438,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-clustername$mk-test-202604-cluster,mk-test-202604-cluster
2026-04-01,2026-05-01,False,11.2756348941,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-clustername$mk426dec215,mk426dec215
2026-04-01,2026-05-01,False,11.5331790698,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-clustername$mkdec219,mkdec219
2026-04-01,2026-05-01,False,25.4197867495,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-clustername$test-del-me,test-del-me
2026-04-01,2026-05-01,False,35.5698970163,Amazon Elastic Container Service,aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,4.52052e-05,Amazon Elastic File System,aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,18.9681630235,Amazon Elastic Load Balancing,aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,54.6837431394,Amazon FSx,aws-parallelcluster-clustername$and-again,and-again
2026-04-01,2026-05-01,False,22.9856170141,Amazon FSx,aws-parallelcluster-clustername$day-ssm-e2e-20260412103613,day-ssm-e2e-20260412103613
2026-04-01,2026-05-01,False,168.0278835717,Amazon FSx,aws-parallelcluster-clustername$daylily-1773057991,daylily-1773057991
2026-04-01,2026-05-01,False,168.0278845246,Amazon FSx,aws-parallelcluster-clustername$daylily-1773059211,daylily-1773059211
2026-04-01,2026-05-01,False,30.8552812071,Amazon FSx,aws-parallelcluster-clustername$dec215-0426,dec215-0426
2026-04-01,2026-05-01,False,159.5595350469,Amazon FSx,aws-parallelcluster-clustername$dec219-cluster,dec219-cluster
2026-04-01,2026-05-01,False,1344.069492284,Amazon FSx,aws-parallelcluster-clustername$ifx-go,ifx-go
2026-04-01,2026-05-01,False,484.8185571242,Amazon FSx,aws-parallelcluster-clustername$inflextion-g24,inflextion-g24
2026-04-01,2026-05-01,False,170.672417507,Amazon FSx,aws-parallelcluster-clustername$lsmc-20260413,lsmc-20260413
2026-04-01,2026-05-01,False,23.019969665,Amazon FSx,aws-parallelcluster-clustername$majors-cluster,majors-cluster
2026-04-01,2026-05-01,False,46.978085874,Amazon FSx,aws-parallelcluster-clustername$mk-cluster,mk-cluster
2026-04-01,2026-05-01,False,330.0815751208,Amazon FSx,aws-parallelcluster-clustername$mk-gotime,mk-gotime
2026-04-01,2026-05-01,False,4.857861109,Amazon FSx,aws-parallelcluster-clustername$mk-gotime2,mk-gotime2
2026-04-01,2026-05-01,False,543.6703939912,Amazon FSx,aws-parallelcluster-clustername$mk-gotime3,mk-gotime3
2026-04-01,2026-05-01,False,111.8916447132,Amazon FSx,aws-parallelcluster-clustername$mk-majors-cluster,mk-majors-cluster
2026-04-01,2026-05-01,False,95.6770185001,Amazon FSx,aws-parallelcluster-clustername$mk-test-202604-cluster,mk-test-202604-cluster
2026-04-01,2026-05-01,False,20.2585615719,Amazon FSx,aws-parallelcluster-clustername$mk426dec215,mk426dec215
2026-04-01,2026-05-01,False,20.7338238616,Amazon FSx,aws-parallelcluster-clustername$mkdec219,mkdec219
2026-04-01,2026-05-01,False,123.9586692557,Amazon FSx,aws-parallelcluster-clustername$test-del-me,test-del-me
2026-04-01,2026-05-01,False,2.6714e-06,Amazon Glacier,aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,15.268142109,Amazon GuardDuty,aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,0.0,Amazon Inspector,aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,130.0,Amazon Registrar,aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,497.9875161126,Amazon Relational Database Service,aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,12.0503452,Amazon Route 53,aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,0.1,Amazon Route 53,aws-parallelcluster-clustername$and-again,and-again
2026-04-01,2026-05-01,False,0.1,Amazon Route 53,aws-parallelcluster-clustername$day-ssm-e2e-20260412103613,day-ssm-e2e-20260412103613
2026-04-01,2026-05-01,False,0.1,Amazon Route 53,aws-parallelcluster-clustername$dec215-0426,dec215-0426
2026-04-01,2026-05-01,False,0.1,Amazon Route 53,aws-parallelcluster-clustername$dec219-cluster,dec219-cluster
2026-04-01,2026-05-01,False,0.5,Amazon Route 53,aws-parallelcluster-clustername$inflextion-g24,inflextion-g24
2026-04-01,2026-05-01,False,0.1,Amazon Route 53,aws-parallelcluster-clustername$lsmc-20260413,lsmc-20260413
2026-04-01,2026-05-01,False,0.5,Amazon Route 53,aws-parallelcluster-clustername$majors-cluster,majors-cluster
2026-04-01,2026-05-01,False,0.1,Amazon Route 53,aws-parallelcluster-clustername$mk-cluster,mk-cluster
2026-04-01,2026-05-01,False,0.1,Amazon Route 53,aws-parallelcluster-clustername$mk-gotime,mk-gotime
2026-04-01,2026-05-01,False,0.1,Amazon Route 53,aws-parallelcluster-clustername$mk-gotime3,mk-gotime3
2026-04-01,2026-05-01,False,0.1,Amazon Route 53,aws-parallelcluster-clustername$mk-majors-cluster,mk-majors-cluster
2026-04-01,2026-05-01,False,0.1,Amazon Route 53,aws-parallelcluster-clustername$mk-test-202604-cluster,mk-test-202604-cluster
2026-04-01,2026-05-01,False,0.1,Amazon Route 53,aws-parallelcluster-clustername$mk426dec215,mk426dec215
2026-04-01,2026-05-01,False,0.1,Amazon Route 53,aws-parallelcluster-clustername$mkdec219,mkdec219
2026-04-01,2026-05-01,False,0.1,Amazon Route 53,aws-parallelcluster-clustername$test-del-me,test-del-me
2026-04-01,2026-05-01,False,0.0,Amazon Simple Notification Service,aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,0.0,Amazon Simple Queue Service,aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,1479.5929508039,Amazon Simple Storage Service,aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,110.8268669624,Amazon Virtual Private Cloud,aws-parallelcluster-clustername$,
