period_start,period_end,key,amount_usd,estimated
2026-02-20,2026-03-01,DataTransfer-Out-Bytes,0.0,False
2026-02-20,2026-03-01,DataTransfer-Regional-Bytes,4.574e-07,False
2026-02-20,2026-03-01,EBS:VolumeUsage.gp3,0.0,False
2026-02-20,2026-03-01,EU-Catalog-Request,0.0,False
2026-02-20,2026-03-01,EU-DataTransfer-Out-Bytes,0.0,False
2026-02-20,2026-03-01,EU-EC2-free-metering,0.0,False
2026-02-20,2026-03-01,EU-ECR-free-metering,0.0,False
2026-02-20,2026-03-01,EU-FreeComplianceCheck,0.0,False
2026-02-20,2026-03-01,EU-FreeEventsAnalyzed,0.0,False
2026-02-20,2026-03-01,EU-Lambda-Code-free-metering,0.0,False
2026-02-20,2026-03-01,EU-Lambda-Standard-free-metering,0.0,False
2026-02-20,2026-03-01,EU-OtherProduct:FreeFindingsIngestion-FreeTrial,0.0,False
2026-02-20,2026-03-01,EU-Requests-Tier1,9e-05,False
2026-02-20,2026-03-01,EU-Requests-Tier2-HTTPS,0.0,False
2026-02-20,2026-03-01,EU-Requests-Tier8,0.00081,False
2026-02-20,2026-03-01,EU-SecurityHubProduct:FreeFindingsIngestion,0.0,False
2026-02-20,2026-03-01,EU-Tables-Requests-Tier1,9e-05,False
2026-02-20,2026-03-01,EUC1-APN1-AWS-In-Bytes,0.0,False
2026-02-20,2026-03-01,EUC1-APN2-AWS-In-Bytes,0.0,False
2026-02-20,2026-03-01,EUC1-APN2-AWS-Out-Bytes,7e-10,False
2026-02-20,2026-03-01,EUC1-APS1-AWS-In-Bytes,0.0,False
2026-02-20,2026-03-01,EUC1-APS2-AWS-In-Bytes,0.0,False
2026-02-20,2026-03-01,EUC1-APS3-AWS-In-Bytes,0.0,False
2026-02-20,2026-03-01,EUC1-APS8-AWS-In-Bytes,0.0,False
2026-02-20,2026-03-01,EUC1-APS9-AWS-In-Bytes,0.0,False
2026-02-20,2026-03-01,EUC1-CAN1-AWS-In-Bytes,0.0,False
2026-02-20,2026-03-01,EUC1-Catalog-Request,0.0,False
2026-02-20,2026-03-01,EUC1-CloudFront-In-Bytes,0.0,False
2026-02-20,2026-03-01,EUC1-CloudFront-Out-Bytes,0.0,False
2026-02-20,2026-03-01,EUC1-DataTransfer-In-Bytes,0.0,False
2026-02-20,2026-03-01,EUC1-DataTransfer-Out-Bytes,0.0,False
2026-02-20,2026-03-01,EUC1-DataTransfer-Regional-Bytes,2.23e-08,False
2026-02-20,2026-03-01,EUC1-EC2-free-metering,0.0,False
2026-02-20,2026-03-01,EUC1-ECR-free-metering,0.0,False
2026-02-20,2026-03-01,EUC1-EU-AWS-In-Bytes,0.0,False
2026-02-20,2026-03-01,EUC1-EUN1-AWS-In-Bytes,0.0,False
2026-02-20,2026-03-01,EUC1-EUW2-AWS-In-Bytes,0.0,False
2026-02-20,2026-03-01,EUC1-EUW3-AWS-In-Bytes,0.0,False
2026-02-20,2026-03-01,EUC1-FreeComplianceCheck,0.0,False
2026-02-20,2026-03-01,EUC1-FreeEventsAnalyzed,0.0,False
2026-02-20,2026-03-01,EUC1-Lambda-Code-free-metering,0.0,False
