time_start,time_end,estimated,amount_usd,service,tag_lsmc_project,tag_lsmc_project_value
2026-05-01,2026-06-01,False,0.7875,Amazon Elastic Load Balancing,lsmc-project$dayhoff+us-east-1,dayhoff+us-east-1
2026-05-01,2026-06-01,False,0.54,Amazon Elastic Load Balancing,lsmc-project$dayhoff-inf10,dayhoff-inf10
2026-05-01,2026-06-01,False,0.63,Amazon Elastic Load Balancing,lsmc-project$dayhoff-inf9,dayhoff-inf9
2026-05-01,2026-06-01,False,4675.5496062546,Amazon FSx,lsmc-project$,
2026-05-01,2026-06-01,False,3.2412e-06,Amazon Glacier,lsmc-project$,
2026-05-01,2026-06-01,False,20.8700168735,Amazon GuardDuty,lsmc-project$,
2026-05-01,2026-06-01,False,0.0,Amazon Inspector,lsmc-project$,
2026-05-01,2026-06-01,False,1714.7286265323,Amazon Relational Database Service,lsmc-project$,
2026-05-01,2026-06-01,False,15.2135225062,Amazon Relational Database Service,lsmc-project$dayhoff+us-east-1,dayhoff+us-east-1
2026-05-01,2026-06-01,False,241.4376385211,Amazon Relational Database Service,lsmc-project$dayhoff+us-west-2,dayhoff+us-west-2
2026-05-01,2026-06-01,False,0.916135215,Amazon Relational Database Service,lsmc-project$dayhoff-ddev80,dayhoff-ddev80
2026-05-01,2026-06-01,False,28.4047130769,Amazon Relational Database Service,lsmc-project$tapdb-us-east-1,tapdb-us-east-1
2026-05-01,2026-06-01,False,28.3935158642,Amazon Relational Database Service,lsmc-project$tapdb-us-west-2,tapdb-us-west-2
2026-05-01,2026-06-01,False,14.752048,Amazon Route 53,lsmc-project$,
2026-05-01,2026-06-01,False,6.1824e-06,Amazon Simple Notification Service,lsmc-project$,
2026-05-01,2026-06-01,False,3.23e-08,Amazon Simple Notification Service,lsmc-project$dayhoff+us-east-1,dayhoff+us-east-1
2026-05-01,2026-06-01,False,3.26e-08,Amazon Simple Notification Service,lsmc-project$dayhoff-inf10,dayhoff-inf10
2026-05-01,2026-06-01,False,3.24e-08,Amazon Simple Notification Service,lsmc-project$dayhoff-inf9,dayhoff-inf9
2026-05-01,2026-06-01,False,0.0,Amazon Simple Queue Service,lsmc-project$,
2026-05-01,2026-06-01,False,3638.6915673942,Amazon Simple Storage Service,lsmc-project$,
2026-05-01,2026-06-01,False,4.4173938768,Amazon Simple Storage Service,lsmc-project$ultima-wgs,ultima-wgs
2026-05-01,2026-06-01,False,0.0058125044,Amazon Simple Storage Service,lsmc-project$zebra-day+us-west-2,zebra-day+us-west-2
2026-05-01,2026-06-01,False,135.8635139374,Amazon Virtual Private Cloud,lsmc-project$,
2026-05-01,2026-06-01,False,0.00033334,Amazon Virtual Private Cloud,lsmc-project$dayhoff+us-east-1,dayhoff+us-east-1
2026-05-01,2026-06-01,False,0.000602775,Amazon Virtual Private Cloud,lsmc-project$dayhoff-ddev80,dayhoff-ddev80
2026-05-01,2026-06-01,False,0.000884725,Amazon Virtual Private Cloud,lsmc-project$dayhoff-ddev81,dayhoff-ddev81
2026-05-01,2026-06-01,False,0.00031528,Amazon Virtual Private Cloud,lsmc-project$dayhoff-ddev89,dayhoff-ddev89
2026-05-01,2026-06-01,False,0.00031389,Amazon Virtual Private Cloud,lsmc-project$dayhoff-ddev94,dayhoff-ddev94
2026-05-01,2026-06-01,False,0.000230555,Amazon Virtual Private Cloud,lsmc-project$dayhoff-ddev96,dayhoff-ddev96
2026-05-01,2026-06-01,False,0.00031389,Amazon Virtual Private Cloud,lsmc-project$dayhoff-inf10,dayhoff-inf10
2026-05-01,2026-06-01,False,0.00031528,Amazon Virtual Private Cloud,lsmc-project$dayhoff-inf11,dayhoff-inf11
2026-05-01,2026-06-01,False,0.00031389,Amazon Virtual Private Cloud,lsmc-project$dayhoff-inf9,dayhoff-inf9
2026-05-01,2026-06-01,False,81.9202940286,AmazonCloudWatch,lsmc-project$,
2026-05-01,2026-06-01,False,0.0,CloudWatch Events,lsmc-project$,
2026-05-01,2026-06-01,False,0.0,Tax,lsmc-project$,
2026-06-01,2026-06-19,True,0.0,AWS CloudFormation,lsmc-project$,
2026-06-01,2026-06-19,True,124.86978,AWS CloudTrail,lsmc-project$,
2026-06-01,2026-06-19,True,244.5372646666,AWS Cost Explorer,lsmc-project$,
2026-06-01,2026-06-19,True,0.0,AWS Glue,lsmc-project$,
2026-06-01,2026-06-19,True,5.4698956854,AWS Key Management Service,lsmc-project$,
2026-06-01,2026-06-19,True,3.9319e-06,AWS Lambda,lsmc-project$,
2026-06-01,2026-06-19,True,3.6673222337,AWS Secrets Manager,lsmc-project$,
